query,effect,Year,Count
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Transcription factors""[All Fields] AND (""2006/01/01""[PubDate] : ""2006/12/31""[PubDate])",Transcription factors,2006,211
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Transcription factors""[All Fields] AND (""2007/01/01""[PubDate] : ""2007/12/31""[PubDate])",Transcription factors,2007,211
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Transcription factors""[All Fields] AND (""2008/01/01""[PubDate] : ""2008/12/31""[PubDate])",Transcription factors,2008,211
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Transcription factors""[All Fields] AND (""2009/01/01""[PubDate] : ""2009/12/31""[PubDate])",Transcription factors,2009,211
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Transcription factors""[All Fields] AND (""2010/01/01""[PubDate] : ""2010/12/31""[PubDate])",Transcription factors,2010,117
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Transcription factors""[All Fields] AND (""2011/01/01""[PubDate] : ""2011/12/31""[PubDate])",Transcription factors,2011,106
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Transcription factors""[All Fields] AND (""2012/01/01""[PubDate] : ""2012/12/31""[PubDate])",Transcription factors,2012,130
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Transcription factors""[All Fields] AND (""2013/01/01""[PubDate] : ""2013/12/31""[PubDate])",Transcription factors,2013,142
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Transcription factors""[All Fields] AND (""2014/01/01""[PubDate] : ""2014/12/31""[PubDate])",Transcription factors,2014,186
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Transcription factors""[All Fields] AND (""2015/01/01""[PubDate] : ""2015/12/31""[PubDate])",Transcription factors,2015,203
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Transcription factors""[All Fields] AND (""2016/01/01""[PubDate] : ""2016/12/31""[PubDate])",Transcription factors,2016,222
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Transcription factors""[All Fields] AND (""2017/01/01""[PubDate] : ""2017/12/31""[PubDate])",Transcription factors,2017,274
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Transcription factors""[All Fields] AND (""2018/01/01""[PubDate] : ""2018/12/31""[PubDate])",Transcription factors,2018,346
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Transcription factors""[All Fields] AND (""2019/01/01""[PubDate] : ""2019/12/31""[PubDate])",Transcription factors,2019,459
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Transcription factors""[All Fields] AND (""2020/01/01""[PubDate] : ""2020/12/31""[PubDate])",Transcription factors,2020,698
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Transcription factors""[All Fields] AND (""2021/01/01""[PubDate] : ""2021/12/31""[PubDate])",Transcription factors,2021,1042
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Transcription factors""[All Fields] AND (""2022/01/01""[PubDate] : ""2022/12/31""[PubDate])",Transcription factors,2022,1371
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Transcription factors""[All Fields] AND (""2023/01/01""[PubDate] : ""2023/12/31""[PubDate])",Transcription factors,2023,1554
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Transcription factors""[All Fields] AND (""2024/01/01""[PubDate] : ""2024/12/31""[PubDate])",Transcription factors,2024,434
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene expression""[All Fields] AND (""2006/01/01""[PubDate] : ""2006/12/31""[PubDate])",Gene expression,2006,105
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene expression""[All Fields] AND (""2007/01/01""[PubDate] : ""2007/12/31""[PubDate])",Gene expression,2007,142
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene expression""[All Fields] AND (""2008/01/01""[PubDate] : ""2008/12/31""[PubDate])",Gene expression,2008,195
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene expression""[All Fields] AND (""2009/01/01""[PubDate] : ""2009/12/31""[PubDate])",Gene expression,2009,249
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene expression""[All Fields] AND (""2010/01/01""[PubDate] : ""2010/12/31""[PubDate])",Gene expression,2010,322
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene expression""[All Fields] AND (""2011/01/01""[PubDate] : ""2011/12/31""[PubDate])",Gene expression,2011,310
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene expression""[All Fields] AND (""2012/01/01""[PubDate] : ""2012/12/31""[PubDate])",Gene expression,2012,408
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene expression""[All Fields] AND (""2013/01/01""[PubDate] : ""2013/12/31""[PubDate])",Gene expression,2013,522
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene expression""[All Fields] AND (""2014/01/01""[PubDate] : ""2014/12/31""[PubDate])",Gene expression,2014,589
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene expression""[All Fields] AND (""2015/01/01""[PubDate] : ""2015/12/31""[PubDate])",Gene expression,2015,667
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene expression""[All Fields] AND (""2016/01/01""[PubDate] : ""2016/12/31""[PubDate])",Gene expression,2016,815
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene expression""[All Fields] AND (""2017/01/01""[PubDate] : ""2017/12/31""[PubDate])",Gene expression,2017,1027
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene expression""[All Fields] AND (""2018/01/01""[PubDate] : ""2018/12/31""[PubDate])",Gene expression,2018,1365
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene expression""[All Fields] AND (""2019/01/01""[PubDate] : ""2019/12/31""[PubDate])",Gene expression,2019,1956
